$ freqtrade list-pairs
2022-05-12 15:05:54,206 - freqtrade.configuration.load_config - INFO - Using config: config.json ...
2022-05-12 15:05:54,242 - freqtrade.loggers - INFO - Verbosity set to 0
2022-05-12 15:05:54,245 - freqtrade.configuration.configuration - INFO - Using user-data directory: /opt/freqtrade/user_data ...
2022-05-12 15:05:54,247 - freqtrade.configuration.configuration - INFO - Using data directory: /opt/freqtrade/user_data/data/binance ...
2022-05-12 15:05:54,248 - freqtrade.configuration.check_exchange - INFO - Checking exchange...
2022-05-12 15:05:54,280 - freqtrade.configuration.check_exchange - INFO - Exchange "binance" is officially supported by the Freqtrade development team.
2022-05-12 15:05:54,281 - freqtrade.configuration.configuration - INFO - Using pairlist from configuration.
2022-05-12 15:05:54,281 - freqtrade.configuration.config_validation - INFO - Validating configuration ...
2022-05-12 15:05:54,289 - freqtrade.exchange.exchange - INFO - Instance is running with dry_run enabled
2022-05-12 15:05:54,290 - freqtrade.exchange.exchange - INFO - Using CCXT 1.81.43
2022-05-12 15:05:54,360 - freqtrade.exchange.exchange - INFO - Using Exchange "Binance"
2022-05-12 15:05:54,362 - freqtrade.resolvers.exchange_resolver - INFO - Using resolved exchange 'Binance'...
2022-05-12 15:05:54,363 - freqtrade.exchange.exchange - INFO - Markets were not loaded. Loading them now..

Exchange Binance has 1465 active pairs:
+--------------+---------------+----------+---------+----------+--------+----------+----------+------------+
|           Id |        Symbol |     Base |   Quote |   Active |   Spot |   Margin |   Future |   Leverage |
|      ADABUSD |      ADA/BUSD |      ADA |    BUSD |     True |   Spot |   Margin |          |          1 |
|       ADAETH |       ADA/ETH |      ADA |     ETH |     True |   Spot |   Margin |          |          1 |
|       ADAEUR |       ADA/EUR |      ADA |     EUR |     True |   Spot |          |          |          1 |
|       ADAGBP |       ADA/GBP |      ADA |     GBP |     True |   Spot |          |          |          1 |
|       ADARUB |       ADA/RUB |      ADA |     RUB |     True |   Spot |          |          |          1 |
|       ADATRY |       ADA/TRY |      ADA |     TRY |     True |   Spot |          |          |          1 |
|      ADATUSD |      ADA/TUSD |      ADA |    TUSD |     True |   Spot |          |          |          1 |
|      ADAUSDC |      ADA/USDC |      ADA |    USDC |     True |   Spot |          |          |          1 |
|      ADAUSDT |      ADA/USDT |      ADA |    USDT |     True |   Spot |   Margin |          |          1 |
|  ADADOWNUSDT |  ADADOWN/USDT |  ADADOWN |    USDT |     True |   Spot |          |          |          1 |
|    ADAUPUSDT |    ADAUP/USDT |    ADAUP |    USDT |     True |   Spot |          |          |          1 |
|       ADXBTC |       ADX/BTC |      ADX |     BTC |     True |   Spot |          |          |          1 |
|      ADXBUSD |      ADX/BUSD |      ADX |    BUSD |     True |   Spot |          |          |          1 |
|       ADXETH |       ADX/ETH |      ADX |     ETH |     True |   Spot |          |          |          1 |
|      ADXUSDT |      ADX/USDT |      ADX |    USDT |     True |   Spot |          |          |          1 |
|     AERGOBTC |     AERGO/BTC |    AERGO |     BTC |     True |   Spot |          |          |          1 |
|    AERGOBUSD |    AERGO/BUSD |    AERGO |    BUSD |     True |   Spot |          |          |          1 |
|      AGIXBTC |      AGIX/BTC |     AGIX |     BTC |     True |   Spot |          |          |          1 |
|      AGLDBTC |      AGLD/BTC |     AGLD |     BTC |     True |   Spot |   Margin |          |          1 |
|     AGLDBUSD |     AGLD/BUSD |     AGLD |    BUSD |     True |   Spot |   Margin |          |          1 |
|     AGLDUSDT |     AGLD/USDT |     AGLD |    USDT |     True |   Spot |   Margin |          |          1 |
|      AIONBTC |      AION/BTC |     AION |     BTC |     True |   Spot |          |          |          1 |
|      AIONETH |      AION/ETH |     AION |     ETH |     True |   Spot |          |          |          1 |
|     AIONUSDT |     AION/USDT |     AION |    USDT |     True |   Spot |          |          |          1 |
|      AKROBTC |      AKRO/BTC |     AKRO |     BTC |     True |   Spot |   Margin |          |          1 |
|     AKROUSDT |     AKRO/USDT |     AKRO |    USDT |     True |   Spot |   Margin |          |          1 |
|      ALCXBTC |      ALCX/BTC |     ALCX |     BTC |     True |   Spot |          |          |          1 |
|     ALCXBUSD |     ALCX/BUSD |     ALCX |    BUSD |     True |   Spot |          |          |          1 |
|     ALCXUSDT |     ALCX/USDT |     ALCX |    USDT |     True |   Spot |          |          |          1 |
|      ALGOBNB |      ALGO/BNB |     ALGO |     BNB |     True |   Spot |          |          |          1 |
|      ALGOBTC |      ALGO/BTC |     ALGO |     BTC |     True |   Spot |   Margin |          |          1 |
|     ALGOBUSD |     ALGO/BUSD |     ALGO |    BUSD |     True |   Spot |   Margin |          |          1 |
|      ALGORUB |      ALGO/RUB |     ALGO |     RUB |     True |   Spot |          |          |          1 |
|     ALGOUSDT |     ALGO/USDT |     ALGO |    USDT |     True |   Spot |   Margin |          |          1 |
|    ALICEBIDR |    ALICE/BIDR |    ALICE |    BIDR |     True |   Spot |          |          |          1 |
|     ALICEBNB |     ALICE/BNB |    ALICE |     BNB |     True |   Spot |          |          |          1 |
|     ALICEBTC |     ALICE/BTC |    ALICE |     BTC |     True |   Spot |   Margin |          |          1 |
|    ALICEBUSD |    ALICE/BUSD |    ALICE |    BUSD |     True |   Spot |   Margin |          |          1 |
|     ALICETRY |     ALICE/TRY |    ALICE |     TRY |     True |   Spot |          |          |          1 |
|    ALICEUSDT |    ALICE/USDT |    ALICE |    USDT |     True |   Spot |   Margin |          |          1 |
|    ALPACABTC |    ALPACA/BTC |   ALPACA |     BTC |     True |   Spot |          |          |          1 |
|   ALPACABUSD |   ALPACA/BUSD |   ALPACA |    BUSD |     True |   Spot |          |          |          1 |
|   ALPACAUSDT |   ALPACA/USDT |   ALPACA |    USDT |     True |   Spot |          |          |          1 |
|     ALPHABNB |     ALPHA/BNB |    ALPHA |     BNB |     True |   Spot |          |          |          1 |
|     ALPHABTC |     ALPHA/BTC |    ALPHA |     BTC |     True |   Spot |   Margin |          |          1 |
|    ALPHABUSD |    ALPHA/BUSD |    ALPHA |    BUSD |     True |   Spot |          |          |          1 |
|    ALPHAUSDT |    ALPHA/USDT |    ALPHA |    USDT |     True |   Spot |   Margin |          |          1 |
|    ALPINEBTC |    ALPINE/BTC |   ALPINE |     BTC |     True |   Spot |          |          |          1 |
|   ALPINEBUSD |   ALPINE/BUSD |   ALPINE |    BUSD |     True |   Spot |          |          |          1 |
|    ALPINEEUR |    ALPINE/EUR |   ALPINE |     EUR |     True |   Spot |          |          |          1 |
|    ALPINETRY |    ALPINE/TRY |   ALPINE |     TRY |     True |   Spot |          |          |          1 |
|   ALPINEUSDT |   ALPINE/USDT |   ALPINE |    USDT |     True |   Spot |          |          |          1 |
|       AMBBTC |       AMB/BTC |      AMB |     BTC |     True |   Spot |          |          |          1 |
|       AMPBTC |       AMP/BTC |      AMP |     BTC |     True |   Spot |          |          |          1 |
|      AMPBUSD |      AMP/BUSD |      AMP |    BUSD |     True |   Spot |          |          |          1 |
|      AMPUSDT |      AMP/USDT |      AMP |    USDT |     True |   Spot |          |          |          1 |
|       ANCBNB |       ANC/BNB |      ANC |     BNB |     True |   Spot |          |          |          1 |
|       ANCBTC |       ANC/BTC |      ANC |     BTC |     True |   Spot |          |          |          1 |
|      ANCBUSD |      ANC/BUSD |      ANC |    BUSD |     True |   Spot |   Margin |          |          1 |
|      ANCUSDT |      ANC/USDT |      ANC |    USDT |     True |   Spot |   Margin |          |          1 |
|      ANKRBNB |      ANKR/BNB |     ANKR |     BNB |     True |   Spot |          |          |          1 |
|      ANKRBTC |      ANKR/BTC |     ANKR |     BTC |     True |   Spot |   Margin |          |          1 |
|     ANKRBUSD |     ANKR/BUSD |     ANKR |    BUSD |     True |   Spot |   Margin |          |          1 |
|     ANKRUSDT |     ANKR/USDT |     ANKR |    USDT |     True |   Spot |   Margin |          |          1 |
|       ANTBNB |       ANT/BNB |      ANT |     BNB |     True |   Spot |          |          |          1 |
|       ANTBTC |       ANT/BTC |      ANT |     BTC |     True |   Spot |   Margin |          |          1 |
|      ANTBUSD |      ANT/BUSD |      ANT |    BUSD |     True |   Spot |   Margin |          |          1 |
|      ANTUSDT |      ANT/USDT |      ANT |    USDT |     True |   Spot |   Margin |          |          1 |
|       APEAUD |       APE/AUD |      APE |     AUD |     True |   Spot |          |          |          1 |
|       APEBNB |       APE/BNB |      APE |     BNB |     True |   Spot |          |          |          1 |
|       APEBRL |       APE/BRL |      APE |     BRL |     True |   Spot |          |          |          1 |
|       APEBTC |       APE/BTC |      APE |     BTC |     True |   Spot |   Margin |          |          1 |
|      APEBUSD |      APE/BUSD |      APE |    BUSD |     True |   Spot |   Margin |          |          1 |
|       APEETH |       APE/ETH |      APE |     ETH |     True |   Spot |   Margin |          |          1 |
|       APEEUR |       APE/EUR |      APE |     EUR |     True |   Spot |          |          |          1 |
|       APEGBP |       APE/GBP |      APE |     GBP |     True |   Spot |          |          |          1 |
|       APETRY |       APE/TRY |      APE |     TRY |     True |   Spot |          |          |          1 |
|      APEUSDT |      APE/USDT |      APE |    USDT |     True |   Spot |   Margin |          |          1 |
|      API3BNB |      API3/BNB |     API3 |     BNB |     True |   Spot |          |          |          1 |
|      API3BTC |      API3/BTC |     API3 |     BTC |     True |   Spot |          |          |          1 |
|     API3BUSD |     API3/BUSD |     API3 |    BUSD |     True |   Spot |          |          |          1 |
|      API3TRY |      API3/TRY |     API3 |     TRY |     True |   Spot |          |          |          1 |
|     API3USDT |     API3/USDT |     API3 |    USDT |     True |   Spot |   Margin |          |          1 |
|        ARBNB |        AR/BNB |       AR |     BNB |     True |   Spot |          |          |          1 |
|        ARBTC |        AR/BTC |       AR |     BTC |     True |   Spot |          |          |          1 |
|       ARBUSD |       AR/BUSD |       AR |    BUSD |     True |   Spot |          |          |          1 |
|       ARUSDT |       AR/USDT |       AR |    USDT |     True |   Spot |   Margin |          |          1 |
|      ARDRBTC |      ARDR/BTC |     ARDR |     BTC |     True |   Spot |          |          |          1 |
|     ARDRUSDT |     ARDR/USDT |     ARDR |    USDT |     True |   Spot |          |          |          1 |
|       ARKBTC |       ARK/BTC |      ARK |     BTC |     True |   Spot |          |          |          1 |
|      ARPABNB |      ARPA/BNB |     ARPA |     BNB |     True |   Spot |          |          |          1 |
|      ARPABTC |      ARPA/BTC |     ARPA |     BTC |     True |   Spot |   Margin |          |          1 |
|     ARPABUSD |     ARPA/BUSD |     ARPA |    BUSD |     True |   Spot |          |          |          1 |
|      ARPARUB |      ARPA/RUB |     ARPA |     RUB |     True |   Spot |          |          |          1 |
|      ARPATRY |      ARPA/TRY |     ARPA |     TRY |     True |   Spot |          |          |          1 |
|     ARPAUSDT |     ARPA/USDT |     ARPA |    USDT |     True |   Spot |   Margin |          |          1 |
|       ASRBTC |       ASR/BTC |      ASR |     BTC |     True |   Spot |          |          |          1 |
|      ASRUSDT |      ASR/USDT |      ASR |    USDT |     True |   Spot |          |          |          1 |
|       ASTBTC |       AST/BTC |      AST |     BTC |     True |   Spot |          |          |          1 |
|      ASTRBTC |      ASTR/BTC |     ASTR |     BTC |     True |   Spot |          |          |          1 |
|     ASTRBUSD |     ASTR/BUSD |     ASTR |    BUSD |     True |   Spot |   Margin |          |          1 |
|      ASTRETH |      ASTR/ETH |     ASTR |     ETH |     True |   Spot |          |          |          1 |
|     ASTRUSDT |     ASTR/USDT |     ASTR |    USDT |     True |   Spot |   Margin |          |          1 |
|       ATABNB |       ATA/BNB |      ATA |     BNB |     True |   Spot |          |          |          1 |
|       ATABTC |       ATA/BTC |      ATA |     BTC |     True |   Spot |   Margin |          |          1 |
|      ATABUSD |      ATA/BUSD |      ATA |    BUSD |     True |   Spot |   Margin |          |          1 |
|      ATAUSDT |      ATA/USDT |      ATA |    USDT |     True |   Spot |   Margin |          |          1 |
|       ATMBTC |       ATM/BTC |      ATM |     BTC |     True |   Spot |          |          |          1 |
|      ATMBUSD |      ATM/BUSD |      ATM |    BUSD |     True |   Spot |          |          |          1 |
|      ATMUSDT |      ATM/USDT |      ATM |    USDT |     True |   Spot |          |          |          1 |
|      ATOMBNB |      ATOM/BNB |     ATOM |     BNB |     True |   Spot |          |          |          1 |
|      ATOMBRL |      ATOM/BRL |     ATOM |     BRL |     True |   Spot |          |          |          1 |
|      ATOMBTC |      ATOM/BTC |     ATOM |     BTC |     True |   Spot |   Margin |          |          1 |
|     ATOMBUSD |     ATOM/BUSD |     ATOM |    BUSD |     True |   Spot |   Margin |          |          1 |
|      ATOMETH |      ATOM/ETH |     ATOM |     ETH |     True |   Spot |          |          |          1 |
|      ATOMEUR |      ATOM/EUR |     ATOM |     EUR |     True |   Spot |          |          |          1 |
|      ATOMTRY |      ATOM/TRY |     ATOM |     TRY |     True |   Spot |          |          |          1 |
|     ATOMUSDC |     ATOM/USDC |     ATOM |    USDC |     True |   Spot |          |          |          1 |
|     ATOMUSDT |     ATOM/USDT |     ATOM |    USDT |     True |   Spot |   Margin |          |          1 |
|   AUCTIONBTC |   AUCTION/BTC |  AUCTION |     BTC |     True |   Spot |          |          |          1 |
|  AUCTIONBUSD |  AUCTION/BUSD |  AUCTION |    BUSD |     True |   Spot |          |          |          1 |
|  AUCTIONUSDT |  AUCTION/USDT |  AUCTION |    USDT |     True |   Spot |          |          |          1 |
|      AUDBUSD |      AUD/BUSD |      AUD |    BUSD |     True |   Spot |          |          |          1 |
|      AUDUSDC |      AUD/USDC |      AUD |    USDC |     True |   Spot |          |          |          1 |
|      AUDUSDT |      AUD/USDT |      AUD |    USDT |     True |   Spot |          |          |          1 |
|     AUDIOBTC |     AUDIO/BTC |    AUDIO |     BTC |     True |   Spot |   Margin |          |          1 |
|    AUDIOBUSD |    AUDIO/BUSD |    AUDIO |    BUSD |     True |   Spot |   Margin |          |          1 |
|     AUDIOTRY |     AUDIO/TRY |    AUDIO |     TRY |     True |   Spot |          |          |          1 |
|    AUDIOUSDT |    AUDIO/USDT |    AUDIO |    USDT |     True |   Spot |   Margin |          |          1 |
|      AUTOBTC |      AUTO/BTC |     AUTO |     BTC |     True |   Spot |          |          |          1 |
|     AUTOBUSD |     AUTO/BUSD |     AUTO |    BUSD |     True |   Spot |          |          |          1 |
|     AUTOUSDT |     AUTO/USDT |     AUTO |    USDT |     True |   Spot |          |          |          1 |
|       AVABNB |       AVA/BNB |      AVA |     BNB |     True |   Spot |          |          |          1 |
|       AVABTC |       AVA/BTC |      AVA |     BTC |     True |   Spot |          |          |          1 |
|      AVABUSD |      AVA/BUSD |      AVA |    BUSD |     True |   Spot |          |          |          1 |
|      AVAUSDT |      AVA/USDT |      AVA |    USDT |     True |   Spot |          |          |          1 |
|      AVAXAUD |      AVAX/AUD |     AVAX |     AUD |     True |   Spot |          |          |          1 |
|     AVAXBIDR |     AVAX/BIDR |     AVAX |    BIDR |     True |   Spot |          |          |          1 |
|      AVAXBNB |      AVAX/BNB |     AVAX |     BNB |     True |   Spot |          |          |          1 |
|      AVAXBRL |      AVAX/BRL |     AVAX |     BRL |     True |   Spot |          |          |          1 |
|      AVAXBTC |      AVAX/BTC |     AVAX |     BTC |     True |   Spot |   Margin |          |          1 |
|     AVAXBUSD |     AVAX/BUSD |     AVAX |    BUSD |     True |   Spot |   Margin |          |          1 |
|      AVAXETH |      AVAX/ETH |     AVAX |     ETH |     True |   Spot |          |          |          1 |
|      AVAXEUR |      AVAX/EUR |     AVAX |     EUR |     True |   Spot |          |          |          1 |
|      AVAXGBP |      AVAX/GBP |     AVAX |     GBP |     True |   Spot |          |          |          1 |
|      AVAXTRY |      AVAX/TRY |     AVAX |     TRY |     True |   Spot |          |          |          1 |
|     AVAXUSDT |     AVAX/USDT |     AVAX |    USDT |     True |   Spot |   Margin |          |          1 |
|       AXSAUD |       AXS/AUD |      AXS |     AUD |     True |   Spot |          |          |          1 |
|       AXSBNB |       AXS/BNB |      AXS |     BNB |     True |   Spot |          |          |          1 |
|       AXSBRL |       AXS/BRL |      AXS |     BRL |     True |   Spot |          |          |          1 |
|       AXSBTC |       AXS/BTC |      AXS |     BTC |     True |   Spot |   Margin |          |          1 |
|      AXSBUSD |      AXS/BUSD |      AXS |    BUSD |     True |   Spot |   Margin |          |          1 |
|       AXSETH |       AXS/ETH |      AXS |     ETH |     True |   Spot |          |          |          1 |
|       AXSTRY |       AXS/TRY |      AXS |     TRY |     True |   Spot |          |          |          1 |
|      AXSUSDT |      AXS/USDT |      AXS |    USDT |     True |   Spot |   Margin |          |          1 |
|    BADGERBTC |    BADGER/BTC |   BADGER |     BTC |     True |   Spot |   Margin |          |          1 |
|   BADGERBUSD |   BADGER/BUSD |   BADGER |    BUSD |     True |   Spot |   Margin |          |          1 |
|   BADGERUSDT |   BADGER/USDT |   BADGER |    USDT |     True |   Spot |   Margin |          |          1 |
|      BAKEBNB |      BAKE/BNB |     BAKE |     BNB |     True |   Spot |          |          |          1 |
|      BAKEBTC |      BAKE/BTC |     BAKE |     BTC |     True |   Spot |   Margin |          |          1 |
|     BAKEBUSD |     BAKE/BUSD |     BAKE |    BUSD |     True |   Spot |   Margin |          |          1 |
|     BAKEUSDT |     BAKE/USDT |     BAKE |    USDT |     True |   Spot |   Margin |          |          1 |
|       BALBTC |       BAL/BTC |      BAL |     BTC |     True |   Spot |   Margin |          |          1 |
|      BALBUSD |      BAL/BUSD |      BAL |    BUSD |     True |   Spot |          |          |          1 |
|      BALUSDT |      BAL/USDT |      BAL |    USDT |     True |   Spot |   Margin |          |          1 |
|      BANDBTC |      BAND/BTC |     BAND |     BTC |     True |   Spot |   Margin |          |          1 |
|     BANDBUSD |     BAND/BUSD |     BAND |    BUSD |     True |   Spot |          |          |          1 |
|     BANDUSDT |     BAND/USDT |     BAND |    USDT |     True |   Spot |   Margin |          |          1 |
|       BARBTC |       BAR/BTC |      BAR |     BTC |     True |   Spot |          |          |          1 |
|      BARBUSD |      BAR/BUSD |      BAR |    BUSD |     True |   Spot |          |          |          1 |
|      BARUSDT |      BAR/USDT |      BAR |    USDT |     True |   Spot |          |          |          1 |
|       BATBTC |       BAT/BTC |      BAT |     BTC |     True |   Spot |   Margin |          |          1 |
|      BATBUSD |      BAT/BUSD |      BAT |    BUSD |     True |   Spot |   Margin |          |          1 |
|       BATETH |       BAT/ETH |      BAT |     ETH |     True |   Spot |          |          |          1 |
|      BATUSDT |      BAT/USDT |      BAT |    USDT |     True |   Spot |   Margin |          |          1 |
|       BCHBNB |       BCH/BNB |      BCH |     BNB |     True |   Spot |          |          |          1 |
|       BCHBTC |       BCH/BTC |      BCH |     BTC |     True |   Spot |   Margin |          |          1 |
|      BCHBUSD |      BCH/BUSD |      BCH |    BUSD |     True |   Spot |   Margin |          |          1 |
|       BCHEUR |       BCH/EUR |      BCH |     EUR |     True |   Spot |          |          |          1 |
|      BCHUSDC |      BCH/USDC |      BCH |    USDC |     True |   Spot |          |          |          1 |
|      BCHUSDT |      BCH/USDT |      BCH |    USDT |     True |   Spot |   Margin |          |          1 |
|      BDOTDOT |      BDOT/DOT |     BDOT |     DOT |     True |   Spot |          |          |          1 |
|      BEAMBTC |      BEAM/BTC |     BEAM |     BTC |     True |   Spot |          |          |          1 |
|     BEAMUSDT |     BEAM/USDT |     BEAM |    USDT |     True |   Spot |   Margin |          |          1 |
|       BELBNB |       BEL/BNB |      BEL |     BNB |     True |   Spot |          |          |          1 |
|       BELBTC |       BEL/BTC |      BEL |     BTC |     True |   Spot |          |          |          1 |
|      BELBUSD |      BEL/BUSD |      BEL |    BUSD |     True |   Spot |          |          |          1 |
|       BELTRY |       BEL/TRY |      BEL |     TRY |     True |   Spot |          |          |          1 |
|      BELUSDT |      BEL/USDT |      BEL |    USDT |     True |   Spot |          |          |          1 |
|      BETABNB |      BETA/BNB |     BETA |     BNB |     True |   Spot |          |          |          1 |
|      BETABTC |      BETA/BTC |     BETA |     BTC |     True |   Spot |          |          |          1 |
|     BETABUSD |     BETA/BUSD |     BETA |    BUSD |     True |   Spot |          |          |          1 |
|      BETAETH |      BETA/ETH |     BETA |     ETH |     True |   Spot |          |          |          1 |
|     BETAUSDT |     BETA/USDT |     BETA |    USDT |     True |   Spot |   Margin |          |          1 |
|      BETHETH |      BETH/ETH |     BETH |     ETH |     True |   Spot |          |          |          1 |
|      BICOBTC |      BICO/BTC |     BICO |     BTC |     True |   Spot |   Margin |          |          1 |
|     BICOBUSD |     BICO/BUSD |     BICO |    BUSD |     True |   Spot |   Margin |          |          1 |
|     BICOUSDT |     BICO/USDT |     BICO |    USDT |     True |   Spot |   Margin |          |          1 |
|     BIFIBUSD |     BIFI/BUSD |     BIFI |    BUSD |     True |   Spot |          |          |          1 |
|     BIFIUSDT |     BIFI/USDT |     BIFI |    USDT |     True |   Spot |          |          |          1 |
|       BLZBTC |       BLZ/BTC |      BLZ |     BTC |     True |   Spot |   Margin |          |          1 |
|       BLZETH |       BLZ/ETH |      BLZ |     ETH |     True |   Spot |          |          |          1 |
|      BLZUSDT |      BLZ/USDT |      BLZ |    USDT |     True |   Spot |   Margin |          |          1 |
|       BNBAUD |       BNB/AUD |      BNB |     AUD |     True |   Spot |          |          |          1 |
|      BNBBIDR |      BNB/BIDR |      BNB |    BIDR |     True |   Spot |          |          |          1 |
|       BNBBRL |       BNB/BRL |      BNB |     BRL |     True |   Spot |          |          |          1 |
|       BNBBTC |       BNB/BTC |      BNB |     BTC |     True |   Spot |   Margin |          |          1 |
|      BNBBUSD |      BNB/BUSD |      BNB |    BUSD |     True |   Spot |   Margin |          |          1 |
|       BNBDAI |       BNB/DAI |      BNB |     DAI |     True |   Spot |          |          |          1 |
|       BNBETH |       BNB/ETH |      BNB |     ETH |     True |   Spot |   Margin |          |          1 |
|       BNBEUR |       BNB/EUR |      BNB |     EUR |     True |   Spot |          |          |          1 |
|       BNBGBP |       BNB/GBP |      BNB |     GBP |     True |   Spot |          |          |          1 |
|      BNBIDRT |      BNB/IDRT |      BNB |    IDRT |     True |   Spot |          |          |          1 |
|       BNBRUB |       BNB/RUB |      BNB |     RUB |     True |   Spot |          |          |          1 |
|       BNBTRY |       BNB/TRY |      BNB |     TRY |     True |   Spot |          |          |          1 |
|      BNBTUSD |      BNB/TUSD |      BNB |    TUSD |     True |   Spot |          |          |          1 |
|       BNBUAH |       BNB/UAH |      BNB |     UAH |     True |   Spot |          |          |          1 |
|      BNBUSDC |      BNB/USDC |      BNB |    USDC |     True |   Spot |          |          |          1 |
|      BNBUSDP |      BNB/USDP |      BNB |    USDP |     True |   Spot |          |          |          1 |
|      BNBUSDT |      BNB/USDT |      BNB |    USDT |     True |   Spot |   Margin |          |          1 |
|       BNBUST |       BNB/UST |      BNB |     UST |     True |   Spot |          |          |          1 |
|  BNBDOWNUSDT |  BNBDOWN/USDT |  BNBDOWN |    USDT |     True |   Spot |          |          |          1 |
|    BNBUPUSDT |    BNBUP/USDT |    BNBUP |    USDT |     True |   Spot |          |          |          1 |
|       BNTBTC |       BNT/BTC |      BNT |     BTC |     True |   Spot |   Margin |          |          1 |
|      BNTBUSD |      BNT/BUSD |      BNT |    BUSD |     True |   Spot |          |          |          1 |
|       BNTETH |       BNT/ETH |      BNT |     ETH |     True |   Spot |          |          |          1 |
|      BNTUSDT |      BNT/USDT |      BNT |    USDT |     True |   Spot |   Margin |          |          1 |
|       BNXBNB |       BNX/BNB |      BNX |     BNB |     True |   Spot |          |          |          1 |
|       BNXBTC |       BNX/BTC |      BNX |     BTC |     True |   Spot |   Margin |          |          1 |
|      BNXBUSD |      BNX/BUSD |      BNX |    BUSD |     True |   Spot |   Margin |          |          1 |
|      BNXUSDT |      BNX/USDT |      BNX |    USDT |     True |   Spot |   Margin |          |          1 |
|      BONDBTC |      BOND/BTC |     BOND |     BTC |     True |   Spot |   Margin |          |          1 |
|     BONDBUSD |     BOND/BUSD |     BOND |    BUSD |     True |   Spot |   Margin |          |          1 |
|     BONDUSDT |     BOND/USDT |     BOND |    USDT |     True |   Spot |   Margin |          |          1 |
|       BRDBTC |       BRD/BTC |      BRD |     BTC |     True |   Spot |          |          |          1 |
|       BRDETH |       BRD/ETH |      BRD |     ETH |     True |   Spot |          |          |          1 |
|       BSWBNB |       BSW/BNB |      BSW |     BNB |     True |   Spot |          |          |          1 |
